key,text
APP_TITLE,"Gmei - אימה"
MENU_NEW_GAME,"משחק חדש"
MENU_CONTINUE,"המשך משחק"
MENU_BATTLE_ROYALE,"באטל רויאל"
MENU_SETTINGS,"הגדרות"
MENU_CREDITS,"קרדיטים"
MENU_QUIT,"יציאה"
MENU_BACK,"חזרה"
SETTINGS_TITLE,"הגדרות"
SETTINGS_CAMERA_MODE,"מצב מצלמה"
SETTINGS_CAMERA_FIRST_PERSON,"גוף ראשון"
SETTINGS_CAMERA_THIRD_PERSON,"גוף שלישי"
SETTINGS_DIFFICULTY,"רמת קושי"
DIFFICULTY_EASY,"קל"
DIFFICULTY_NORMAL,"רגיל"
DIFFICULTY_HARD,"קשה"
DIFFICULTY_NIGHTMARE,"סיוט"
SETTINGS_MUSIC_VOLUME,"עוצמת מוזיקה"
SETTINGS_SFX_VOLUME,"עוצמת אפקטים"
SETTINGS_SENSITIVITY,"רגישות מצלמה"
SETTINGS_INVERT_Y,"היפוך ציר Y"
SETTINGS_SHOW_TOUCH_CONTROLS,"הצג בקרות מגע"
SETTINGS_FLASHLIGHT_TOGGLE,"פנס - לחיצה/החזקה"
SETTINGS_APPLY,"החל"
SETTINGS_RESET,"איפוס להגדרות ברירת מחדל"
HUD_HEALTH,"בריאות"
HUD_STAMINA,"סטמינה"
HUD_AMMO,"תחמושת"
HUD_INTERACT_PROMPT,"לחץ כדי לפעול"
HUD_PICKED_UP,"נאסף"
HUD_ZONE_WARNING,"האזור מתכווץ! מהרו פנימה"
HUD_ZONE_DAMAGE,"אתם מחוץ לאזור הבטוח"
HUD_PLAYERS_ALIVE,"שורדים"
PAUSE_TITLE,"מושהה"
PAUSE_RESUME,"המשך"
PAUSE_SETTINGS,"הגדרות"
PAUSE_MAIN_MENU,"תפריט ראשי"
INVENTORY_TITLE,"תיק ציוד"
INVENTORY_EMPTY,"התיק ריק"
INVENTORY_USE,"השתמש"
INVENTORY_EQUIP,"צייד"
INVENTORY_DROP,"השלך"
ITEM_HANDGUN,"אקדח"
ITEM_SHOTGUN,"רובה ציד"
ITEM_RIFLE,"רובה סער"
ITEM_KNIFE,"סכין"
ITEM_AMMO_PISTOL,"כדורי אקדח"
ITEM_AMMO_SHOTGUN,"כדורי רובה ציד"
ITEM_AMMO_RIFLE,"כדורי רובה סער"
ITEM_HERB_GREEN,"עשב ירוק"
ITEM_FIRST_AID,"ערכת עזרה ראשונה"
ITEM_KEY_ORNATE,"מפתח מעוטר"
ITEM_KEY_RUSTY,"מפתח חלוד"
ITEM_DOCUMENT,"מסמך"
DOOR_LOCKED,"הדלת נעולה"
DOOR_NEEDS_KEY,"נדרש מפתח מתאים"
SAVE_POINT_PROMPT,"שמור משחק?"
SAVE_POINT_SAVED,"המשחק נשמר"
GAME_OVER_TITLE,"מתת"
GAME_OVER_RETRY,"נסה שוב"
GAME_OVER_MENU,"תפריט ראשי"
BR_TITLE,"באטל רויאל"
BR_STARTING,"המשחק מתחיל בעוד"
BR_VICTORY,"ניצחת! השורד האחרון"
BR_DEFEAT,"נפלת בקרב"
BR_KILLED_BY,"חוסלת על ידי"
BR_ZONE_SHRINKING,"האזור הבטוח מתכווץ"
BR_PLACEMENT,"מיקום סופי"
LOADING,"טוען..."
CONFIRM_YES,"כן"
CONFIRM_NO,"לא"
CONFIRM_QUIT_TITLE,"לצאת מהמשחק?"
CONFIRM_QUIT_DESC,"התקדמות שלא נשמרה תאבד"
CONTROLS_MOVE,"תזוזה"
CONTROLS_LOOK,"הסתכלות"
CONTROLS_FIRE,"ירי"
CONTROLS_AIM,"כוונון"
CONTROLS_JUMP,"קפיצה"
CONTROLS_SPRINT,"ריצה"
CONTROLS_CROUCH,"כריעה"
CONTROLS_INTERACT,"פעולה"
ENEMY_STALKER_NAME,"רודף"
ENEMY_BRUTE_NAME,"גולם"
ENEMY_CRAWLER_NAME,"זוחל"
CREDITS_TEXT,"Gmei פותח כפרויקט קוד פתוח - כל הגרפיקה כרגע היא זמנית (placeholder) וממתינה להחלפה במודלים מקצועיים."
